Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-322.86697	188.23946	-55.682163	-735.53955	81.5	-0.90245163	0.8237078	2.087144	-6.0250688	4000	2.9802322e-08	101286.5	-0.0437635	-39240.758	7.3798714	0.017747331	0.19575	6.0	3.891892671585083
1	-507.43304	969.65326	-54.15304	-3895.7383	135.64285	-77.759766	23.677427	-14.086607	-176.5349	8000	-2.9802322e-08	62558.234	-0.06343212	-45295.742	7.409658	0.015594598	0.27475	20.0	6.948693752288818
2	-474.4372	1030.4915	-64.83981	-4020.3481	122.07692	-285.50836	72.029785	-47.7719	-566.6855	12000	0.0	17161.82	-0.090606324	-3677.324	7.3078985	0.015959632	0.38175	45.0	10.313704013824463
3	-274.01587	192.91443	-73.45679	-676.2168	76.0	-305.40668	62.517544	-46.24564	-545.5213	16000	-3.7252903e-09	9550.852	-0.10496489	-1963.1174	7.3073897	0.015340695	0.44825	73.0	14.01629376411438
4	-211.61293	178.76788	-58.44311	-602.52405	62.0	-322.08212	61.212605	-40.777256	-510.46002	20000	-1.3038516e-08	11676.059	-0.10057312	-1932.5552	7.2342653	0.01578316	0.45700002	61.0	17.29159140586853
5	-203.4298	152.03293	-35.689613	-694.5727	62.72973	-298.55173	62.998505	-23.801313	-469.59354	24000	-1.4901161e-08	23792.168	-0.08962406	-10612.705	7.1143007	0.01584521	0.3905	34.0	20.281623601913452
6	-194.30109	138.81288	-46.17224	-605.4091	58.36	-231.87386	57.609158	-5.210993	-411.95898	28000	-1.4901161e-08	11165.672	-0.07569901	-1759.3191	7.0878224	0.016401362	0.331	24.0	23.31511116027832
7	-399.89145	727.4829	-56.86831	-3494.6565	118.15	-258.91364	71.12985	-2.935762	-469.1458	32000	-1.8626451e-09	8916.401	-0.0891515	-1099.7671	7.1065245	0.015371481	0.3915	36.0	26.49101686477661
8	-464.87036	925.53796	-54.584736	-3488.7925	138.91667	-256.23257	59.91961	-2.4162288	-443.4048	36000	-1.1175871e-08	7853.109	-0.07200867	-1865.7782	7.018275	0.015694423	0.3545	22.0	28.91276502609253
9	-209.81497	176.81793	-57.673874	-637.2966	61.555557	-277.44382	65.27979	-2.8162284	-438.81842	40000	-5.5879354e-09	6477.687	-0.08637022	-1041.7018	7.024315	0.015354865	0.38175	30.0	32.11491775512695
