Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-185.04274	121.610176	-50.699436	-581.7483	40.517242	-0.045590628	1.0013115	2.4387422	-2.8936613	4000	-2.8405339e-08	113500.72	-0.034753617	-2085.8809	7.310605	0.01613243	0.184	10.0	2.492737054824829
1	-256.69324	533.977	-45.84564	-3123.1287	58.166668	-3.490976	1.3920273	3.0090067	-7.1972184	8000	-1.4901161e-07	100206.84	-0.04309888	-3671.7607	7.380802	0.01578157	0.20425	24.0	4.497504234313965
2	-167.60384	174.81442	-25.962448	-1111.3309	38.205128	-9.904086	1.9441817	2.1679747	-12.865552	12000	3.7252903e-08	53040.594	-0.050412267	-1414.8536	7.343314	0.015417342	0.21599999	29.0	6.521034240722656
3	-172.94107	161.80539	-30.56035	-711.8512	38.532257	-13.754836	1.5955801	-5.39993	-15.911571	16000	-1.4156103e-07	60264.984	-0.028702687	-1641.394	7.249146	0.015487323	0.2095	11.0	8.414059162139893
4	-209.79315	226.73068	-42.50086	-1431.6094	48.145454	-17.911879	1.1081951	-9.352169	-19.300545	20000	-6.7055225e-08	57711.72	-0.029646907	-1351.5603	7.1562595	0.01573386	0.2035	13.0	10.333054304122925
5	-178.5996	105.19205	-43.331505	-463.45856	42.0	-21.312183	0.9135253	-13.546921	-22.422716	24000	1.6763806e-08	86005.95	-0.03902958	-2099.295	7.180587	0.01573767	0.23375	20.0	12.32698917388916
6	-140.71773	99.55474	-42.89766	-515.7528	34.622643	-25.437914	0.78291523	-19.12194	-26.19633	28000	-1.0430813e-07	59150.89	-0.041482758	-1183.3694	7.1484604	0.01528745	0.198	21.0	14.358991146087646
7	-165.49545	123.0595	-35.541027	-600.491	44.409092	-28.521946	0.7889621	-22.068031	-29.078913	32000	-8.940697e-08	31190.277	-0.053648733	-500.28088	7.1309032	0.015639385	0.249	33.0	16.47492504119873
8	-138.50005	105.31378	-39.435387	-616.5278	35.734695	-30.474352	0.67857623	-24.222042	-31.016691	36000	5.9604645e-08	57571.86	-0.028096547	-1057.122	7.030774	0.017494947	0.22625001	10.0	18.43907356262207
9	-173.28368	152.0132	-33.455444	-668.08594	44.48	-33.26233	0.5422862	-27.078588	-33.740303	40000	1.4156103e-07	68382.375	-0.03308799	-1547.4775	7.0580816	0.016352063	0.24374999	14.0	20.68823266029358
