Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-518.0782	699.5815	-123.476616	-4989.589	36.884617	-0.7110428	1.1241688	2.920697	-4.7350044	4000	2.9802322e-07	958265.4	-0.032316744	-13404.594	7.306056	0.01602916	0.179	7.0	2.526762008666992
1	-663.75476	1621.3765	-126.471405	-12931.0205	49.703125	-8.649662	3.6385732	-1.0815486	-23.359682	8000	-8.195639e-08	726231.4	-0.03590156	-18053.855	7.367653	0.01603447	0.20275	15.0	4.49258828163147
2	-432.08148	762.8149	-70.05804	-6462.19	32.573334	-21.633396	9.210652	-3.2158563	-58.275204	12000	0.0	701292.94	-0.049543016	-28510.328	7.2751427	0.015496805	0.23050001	28.0	6.556711912155151
3	-967.22095	2546.7087	-110.68767	-13133.113	72.181816	-42.172905	17.911833	-6.6046185	-122.71191	16000	-8.568168e-08	1073796.2	-0.042317763	-69612.66	7.3524423	0.017410591	0.25800002	17.0	8.548631429672241
4	-1237.7903	3147.798	-96.385735	-12770.28	96.76923	-77.773285	33.310158	-12.113196	-211.54208	20000	-6.7055225e-08	971017.75	-0.0405361	-81653.42	7.2291965	0.015761038	0.21775	19.0	10.562212705612183
5	-542.19354	1003.2123	-120.10276	-6258.5063	41.916668	-124.59345	53.0154	-18.348867	-340.12704	24000	-4.8428774e-08	732384.9	-0.05833997	-67801.76	7.2073174	0.015883056	0.27975	34.0	12.724259614944458
6	-375.29736	260.51904	-106.879524	-1411.9473	29.095238	-176.8737	77.472626	-30.04508	-463.0235	28000	-1.4901161e-08	507910.06	-0.046743274	-41509.023	7.229805	0.015717324	0.2155	21.0	14.745504140853882
7	-398.65912	195.08778	-108.06115	-849.0355	33.53846	-216.98317	92.35134	-34.829243	-637.368	32000	-5.5879354e-08	718620.1	-0.04069888	-83465.93	7.148492	0.015966719	0.20325	19.0	16.771687269210815
8	-794.124	1836.3223	-107.81063	-9346.068	63.53846	-285.44083	124.77219	-49.217033	-834.1674	36000	4.8661605e-08	532003.0	-0.044401057	-57906.72	7.102021	0.015966788	0.2655	20.0	18.851603507995605
9	-403.80734	505.69122	-80.9296	-4463.657	32.47561	-340.06482	142.68175	-54.095585	-1015.2821	40000	-2.9802322e-08	262327.25	-0.058881134	-9240.52	7.1292453	0.015563758	0.2535	37.0	21.32806634902954
