Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-493.6841	305.01407	-137.4989	-1556.651	33.83582	-0.0048014205	1.0671103	5.4006834	-3.8341482	4000	-2.9802322e-08	655361.1	-0.040165775	-9396.406	7.374349	0.015989654	0.21024999	11.0	2.8599867820739746
1	-522.7356	312.10214	-134.45181	-2012.4795	36.901638	-7.302669	3.4622688	-1.0058086	-21.469719	8000	-3.7252903e-08	601556.25	-0.03988485	-13705.365	7.322505	0.015906742	0.19624999	16.0	5.118316411972046
2	-2755.1477	4769.104	-181.87381	-14354.267	192.85715	-17.857828	7.7215223	-3.1154325	-52.59227	12000	2.6077032e-08	1413940.8	-0.020161029	-52337.312	7.3671775	0.018901676	0.184	7.0	7.325922250747681
3	-449.61548	319.8192	-190.1943	-1841.815	30.206896	-41.06837	16.094112	-7.0419965	-126.50595	16000	1.937151e-07	1030246.3	-0.038388666	-46683.188	7.31571	0.015658204	0.2005	19.0	9.738281488418579
4	-916.0148	2186.7488	-177.58968	-12880.255	66.911766	-67.8489	24.970896	-11.666851	-173.7095	20000	-2.9802322e-08	869849.7	-0.03451984	-50091.82	7.2794533	0.015776942	0.18975	15.0	12.123814821243286
5	-466.22696	303.85938	-97.27871	-1327.94	34.25	-100.53003	34.746365	-13.066339	-247.01294	24000	5.2154064e-08	519963.84	-0.060782075	-32351.867	7.2576866	0.0155428555	0.26700002	40.0	14.700889348983765
6	-740.6743	1655.8417	-159.54913	-12863.368	56.37931	-129.02296	44.304688	-22.557528	-312.11487	28000	-2.9802322e-08	515823.7	-0.038241137	-33681.83	7.2094193	0.016046952	0.17975	14.0	17.133214712142944
7	-474.34317	367.64523	-145.80493	-1356.9198	35.909092	-157.15977	51.726246	-31.399025	-386.31674	32000	0.0	746254.94	-0.039674353	-74886.586	7.174821	0.015778847	0.2195	18.0	19.481748580932617
8	-797.9928	1607.6926	-140.86143	-8194.357	62.782608	-210.27808	66.964134	-44.68332	-509.30167	36000	-7.4505806e-08	686443.1	-0.05611489	-78617.41	7.120413	0.015388563	0.26749998	37.0	22.093351364135742
9	-485.93472	313.4873	-132.14767	-1345.4048	38.19512	-271.58228	85.893555	-49.552734	-661.46814	40000	7.450581e-09	470260.66	-0.058120444	-44152.523	7.1498117	0.01578075	0.2825	34.0	25.011213064193726
