Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-107.57369	71.23525	-34.486935	-316.70224	43.382355	-0.07020949	0.9306127	1.9126595	-2.05352	4000	-2.0116568e-07	30737.56	-0.061144635	-4213.535	7.3798714	0.016370328	0.23124999	15.0	3.713928699493408
1	-208.5286	415.21173	-21.975885	-2341.8262	87.6	-14.418311	0.5779754	-8.314308	-15.008017	8000	3.7252903e-08	26272.39	-0.046766974	-2027.282	7.3996944	0.015701763	0.17025	14.0	6.591238021850586
2	-101.93977	81.53242	-12.54632	-371.58905	44.293102	-21.750433	0.09467872	-19.925858	-21.803566	12000	-7.264316e-08	13564.395	-0.061567023	-731.72156	7.2997637	0.015753023	0.22999999	22.0	9.472034692764282
3	-102.83393	95.25285	-22.207607	-515.6938	46.96875	-26.071434	0.07796455	-24.786774	-26.106102	16000	1.3969839e-08	10273.52	-0.06987574	-499.58514	7.2945967	0.015705742	0.28	27.0	12.386634349822998
4	-110.421	74.2103	-7.055709	-369.9338	50.288136	-29.729565	0.05896053	-28.973743	-29.754622	20000	2.9802322e-08	8630.207	-0.03216812	-422.96378	7.2357287	0.016451389	0.17225	9.0	15.23996090888977
5	-116.293205	94.50241	-6.985144	-452.147	53.18868	-33.214806	0.045992073	-32.65382	-33.23249	24000	5.2154064e-08	10378.848	-0.021775346	-542.0371	7.1703696	0.018671818	0.22600001	6.0	17.962700366973877
6	-86.73443	68.75742	-15.137026	-355.1295	40.275	-37.221554	0.050916325	-36.601627	-37.240326	28000	-5.5879354e-08	4975.3594	-0.026901651	-189.47241	7.174426	0.016119827	0.183	7.0	20.750982999801636
7	-97.85655	69.300156	-17.579933	-307.90616	47.68889	-39.781452	0.04248695	-39.34497	-39.801373	32000	0.0	11610.832	-0.021857776	-683.85364	7.2205677	0.019646574	0.223	6.0	23.402626991271973
8	-108.9737	65.37826	-18.129107	-298.7657	56.5	-44.425182	0.02732865	-44.02896	-44.436653	36000	1.0430813e-07	11312.729	-0.020363202	-740.53503	7.165756	0.016084034	0.24	5.0	25.670581579208374
9	-170.32257	406.30942	-2.7343917	-1975.8899	88.52381	-49.406544	0.022011416	-49.097908	-49.41681	40000	5.2154064e-08	14007.27	-0.019615214	-1188.1001	7.184432	0.016002607	0.23325	6.0	28.525935173034668
