Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-162.87279	115.147255	-39.32892	-820.16296	27.0	-0.03016792	0.8300853	2.7574425	-2.826867	4000	-2.9802322e-08	125421.31	-0.058202118	-1701.584	7.3743496	0.0154548865	0.255	34.0	3.225100517272949
1	-192.76012	246.05649	-47.081303	-1742.8354	32.154762	-3.2196925	1.4687318	2.4764721	-7.3150268	8000	1.5646219e-07	103964.81	-0.05712065	-3485.582	7.307949	0.015288326	0.26450002	34.0	5.793464183807373
2	-209.41843	227.81358	-44.99779	-1998.1324	35.431374	-10.203904	1.981345	5.545305	-13.187571	12000	8.568168e-08	52295.523	-0.035780728	-1532.9478	7.3083086	0.0154831465	0.234	13.0	8.253151655197144
3	-159.3747	99.52506	-27.5806	-575.4486	27.64865	-14.725514	1.4080786	-7.516004	-16.553375	16000	2.9802322e-08	66982.19	-0.043279573	-1385.0066	7.2576847	0.015428547	0.21925	22.0	10.803981065750122
4	-195.83763	485.16876	-33.388798	-4917.513	34.21	-18.530523	1.1165663	-12.732406	-19.855007	20000	-6.7055225e-08	92650.09	-0.027656283	-1804.1304	7.2397733	0.01567268	0.199	11.0	13.132735013961792
5	-161.16292	109.725845	-23.397013	-700.4812	29.488	-22.688677	1.0167739	-16.619848	-23.498531	24000	6.7055225e-08	20596.248	-0.033606313	-392.15356	7.23409	0.015342636	0.21599999	15.0	15.572994470596313
6	-177.89474	249.58116	-37.270992	-2321.9277	32.31868	-24.58371	0.9355282	-17.444216	-25.40456	28000	-1.4901161e-07	87018.64	-0.029660303	-1526.2737	7.196878	0.015745219	0.19925001	11.0	17.914204359054565
7	-202.03665	214.62172	-42.661488	-1687.905	36.448597	-28.182804	0.870733	-22.229675	-28.787027	32000	-4.4703484e-08	29681.596	-0.03555013	-534.3469	7.168477	0.015498645	0.217	15.0	20.18476366996765
8	-259.37903	618.2936	-37.484566	-5052.807	48.514286	-30.348505	0.7540958	-24.926758	-30.953053	36000	-5.9604645e-08	84809.83	-0.031050561	-1604.7717	7.10929	0.016387567	0.20574999	12.0	22.51151180267334
9	-283.93085	685.486	-43.512615	-5061.787	54.692307	-33.9315	0.6891675	-27.94031	-34.427853	40000	2.9802322e-08	90600.73	-0.039145574	-1701.5925	7.167904	0.016016562	0.20899999	19.0	25.216033935546875
