Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-640.4646	846.27844	-70.92275	-3484.6965	163.66667	0.096207395	0.520494	2.3426986	-1.6515696	4000	-9.49949e-08	88166.61	-0.03133081	-29689.082	7.3468637	0.018211912	0.1825	3.0	2.9082303047180176
1	-1113.0148	1278.0432	-82.656456	-3566.5322	310.3	-58.443443	15.766093	-12.260565	-129.3639	8000	2.2351742e-08	58471.844	-0.07795203	-47971.83	7.315885	0.016069856	0.34875	35.0	5.321204900741577
2	-558.62964	448.67767	-62.79485	-1659.5702	160.33333	-269.90292	51.43485	-59.02999	-469.4774	12000	-1.1175871e-08	8252.676	-0.10214528	-1809.1875	7.2552633	0.010896355	0.4325	79.0	8.08573603630066
3	-1114.939	1188.8727	-80.925804	-3192.0305	346.77777	-258.00043	45.452816	-49.310474	-430.5371	16000	3.7252903e-09	8605.486	-0.10015258	-1088.7018	7.287546	0.015272063	0.45675	73.0	10.929078578948975
4	-796.4022	840.6028	-71.71717	-3163.6592	242.6	-257.03464	39.271404	-43.95133	-430.68057	20000	1.1175871e-08	8434.388	-0.09505491	-839.0946	7.149047	0.015489781	0.42575002	59.0	13.498960971832275
5	-654.4777	893.6465	-68.27964	-3186.3552	200.66667	-257.76624	39.323166	-37.697582	-423.90936	24000	0.0	9938.163	-0.08373841	-2200.0112	7.1143346	0.016013151	0.35525	38.0	16.0277578830719
6	-1005.5204	1059.4325	-110.39541	-2907.865	338.4	-229.49078	37.75225	-24.513176	-403.91525	28000	-1.8626451e-08	5930.749	-0.05514349	-1762.687	6.9958625	0.015187253	0.248	16.0	18.482213973999023
7	-505.49094	353.33795	-67.69323	-1307.8461	152.0	-239.38722	36.60805	-28.768164	-396.2821	32000	-1.6763806e-08	7864.38	-0.045630395	-1257.6246	6.989854	0.015416841	0.23825	13.0	20.830027103424072
8	-425.57382	276.57623	-54.99703	-964.1177	131.11765	-210.92657	35.5893	-21.774275	-339.37823	36000	3.7252903e-09	7008.9272	-0.06453513	-552.7228	7.003281	0.016498953	0.30775	23.0	23.2429358959198
9	-521.611	362.6199	-151.27313	-1425.7544	169.0	-201.17268	26.15846	-24.610132	-298.29156	40000	-1.4901161e-08	7587.871	-0.0559054	-614.59216	6.9472585	0.016480237	0.24900001	18.0	26.159748315811157
