Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-298.78738	213.86066	-38.519405	-833.1782	78.04762	-0.8977015	0.8532165	1.6007807	-6.298001	4000	-2.2351742e-08	85403.7	-0.03399168	-34231.53	7.3798714	0.0195358	0.17199999	3.0	3.434664487838745
1	-789.672	1226.4982	-72.05943	-4014.0083	201.625	-77.52627	23.198341	-15.250319	-178.86223	8000	1.4528632e-07	67649.91	-0.09273754	-52375.312	7.415225	0.015756171	0.39075	47.0	6.616371393203735
2	-1073.9703	1505.8251	-44.392002	-3940.0127	278.0	-297.8463	75.05496	-55.024662	-639.90204	12000	-1.8626451e-09	14198.458	-0.100861534	-3230.009	7.2887993	0.015770253	0.42475	56.0	9.976558446884155
3	-827.0877	1305.8105	-83.54607	-3685.8206	234.27272	-312.8284	63.423218	-51.02527	-527.19324	16000	-2.2351742e-08	14157.549	-0.09900905	-3129.259	7.285281	0.015535747	0.43825	54.0	13.404334783554077
4	-218.91945	166.44041	-53.129128	-689.29205	66.181816	-296.973	56.23591	-35.44128	-497.19458	20000	1.3038516e-08	11739.792	-0.090358764	-2381.9072	7.202806	0.01576789	0.40774998	42.0	16.701302766799927
5	-569.804	1062.2305	-41.185974	-3473.7876	163.94118	-309.56274	58.254837	-20.034655	-481.41022	24000	1.4901161e-08	12025.881	-0.08414087	-2779.2437	7.097007	0.015777253	0.38325	33.0	19.863636255264282
6	-1802.6959	1703.5725	-61.276188	-3568.3616	512.25	-291.68994	46.990974	-15.0205	-455.32162	28000	1.5832484e-08	6635.6846	-0.10144694	-1631.5493	7.075101	0.015553633	0.45075	62.0	23.456502437591553
7	-270.7234	119.78376	-93.69965	-553.2484	79.71429	-304.37018	58.241795	-11.543535	-491.9292	32000	-1.8626451e-08	8944.391	-0.08668952	-2262.9983	7.0632725	0.016872343	0.39625	35.0	26.863085985183716
8	-207.00629	147.97205	-50.791588	-498.0098	65.0	-272.66138	57.915886	-4.1397834	-436.1162	36000	9.313226e-09	6976.838	-0.066960946	-1160.1904	6.9531116	0.016521001	0.30275	19.0	29.893766164779663
9	-228.47595	108.92064	-62.160553	-418.91925	69.125	-276.45892	57.083015	-2.6685655	-433.85757	40000	-3.7252903e-09	5986.7354	-0.048498243	-704.8136	6.9643793	0.017102031	0.25774997	11.0	33.14184212684631
