Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-206.97775	121.69354	-39.271103	-578.1393	45.892857	-0.035725784	0.99763227	2.4832802	-2.866527	4000	-7.0780516e-08	106045.19	-0.028738797	-2138.791	7.310605	0.015643228	0.18975	8.0	2.909374952316284
1	-164.80246	90.45652	-28.801647	-327.84827	34.81818	-3.4363518	1.4276901	2.0943213	-7.603233	8000	1.7881393e-07	124959.36	-0.04734361	-4375.834	7.3917527	0.015925687	0.21149999	25.0	5.234202146530151
2	-161.28755	103.53054	-42.754757	-481.14807	35.58209	-10.090702	1.7785723	4.41383	-12.909952	12000	-1.4901161e-07	58205.133	-0.049260154	-1434.596	7.3507466	0.016297549	0.23525	27.0	7.590672016143799
3	-186.52103	113.47524	-42.32693	-475.74808	41.61905	-13.983002	1.2217532	-6.170547	-15.957797	16000	-1.4156103e-07	108215.55	-0.027628921	-2809.123	7.2605495	0.017017571	0.222	11.0	9.950583696365356
4	-164.10954	90.46689	-37.177544	-446.14328	38.909092	-18.785635	1.2201657	-11.987417	-19.99329	20000	-5.9604645e-08	16190.2295	-0.04774469	-346.47253	7.174793	0.015273571	0.24	27.0	12.45956540107727
5	-319.58112	672.49005	-52.01965	-3919.6865	78.5946	-20.449177	0.9483313	-14.395944	-21.586222	24000	-4.4703484e-08	74438.97	-0.048564542	-1556.5671	7.1795697	0.015589565	0.23725	28.0	14.959434270858765
6	-173.97859	170.34612	-44.63975	-1094.0917	42.145454	-23.826284	0.8172975	-17.479963	-24.622713	28000	-2.0861626e-07	53252.08	-0.044961583	-1016.0674	7.1442814	0.015934661	0.19749999	24.0	17.39946413040161
7	-158.77216	106.00386	-47.651375	-479.09766	39.064518	-26.48407	0.73660916	-20.671215	-27.255133	32000	-2.9802322e-08	79514.11	-0.029985793	-1657.5972	7.115206	0.016246693	0.21875	12.0	19.666806936264038
8	-158.81918	98.144424	-35.058556	-399.0871	40.0	-30.004757	0.7600322	-23.87649	-30.485197	36000	1.4901161e-08	23383.158	-0.050980233	-353.49976	7.0558724	0.015417332	0.2245	29.0	22.24024796485901
9	-302.4746	710.5297	-33.02172	-3722.2942	76.3	-31.54409	0.7050549	-25.690971	-32.12519	40000	-1.1175871e-07	56810.016	-0.047075637	-1060.8071	7.06015	0.015397614	0.22775	23.0	25.126726627349854
