Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-82.4368	61.627014	-17.051517	-359.9275	35.24	-0.0024521265	0.46936393	1.5196456	-1.6520151	4000	-2.9802322e-08	22144.059	-0.06590308	-3364.8704	7.3468637	0.016648103	0.215	15.0	3.406561851501465
1	-71.76523	54.089264	-10.375517	-301.38724	32.104477	-14.210098	0.5083785	-7.3029737	-14.660183	8000	4.4703484e-08	16150.926	-0.027040623	-1258.9072	7.2988234	0.017082231	0.227	7.0	5.945485830307007
2	-73.87666	61.710735	-4.5985227	-365.98016	35.011627	-20.928425	0.18699086	-18.361855	-21.01228	12000	-1.0430813e-07	8058.999	-0.060624152	-456.748	7.2924633	0.016602276	0.22874999	20.0	8.663275480270386
3	-76.58418	69.48529	-20.818592	-376.61655	35.19178	-24.989985	0.12587495	-23.598372	-25.03818	16000	2.2351742e-08	11073.391	-0.06381093	-717.5366	7.3144417	0.0163237	0.24575001	21.0	11.54621171951294
4	-61.904125	35.780293	-5.5424905	-162.19359	34.15	-29.972597	0.07841164	-27.705107	-30.005808	20000	1.3411045e-07	23646.477	-0.0207056	-2075.1592	7.2497816	0.019417237	0.26675	5.0	14.48062777519226
5	-91.834335	228.63916	-2.2044725	-2058.6545	43.974358	-37.822796	0.078827195	-36.870117	-37.846012	24000	4.4703484e-08	8232.922	-0.07397712	-375.86322	7.2686343	0.015660789	0.29874998	28.0	17.401852130889893
6	-68.136765	55.255295	-3.2706785	-278.33527	35.616665	-41.434025	0.08122716	-38.519062	-41.453674	28000	-2.2351742e-08	8989.05	-0.022487719	-436.32684	7.144308	0.018709846	0.24175	6.0	20.205788373947144
7	-79.25951	55.66836	-14.584726	-237.8631	38.701492	-45.106064	0.29664877	-35.258514	-45.14276	32000	2.2351742e-08	6286.168	-0.01775691	-295.27353	7.165891	0.020398378	0.2145	5.0	23.02444624900818
8	-63.58703	58.706345	-9.296722	-353.34497	33.46154	-47.54963	4.8795905	44.34686	-48.22924	36000	4.4703484e-08	7639.285	-0.021835163	-397.9001	7.2099686	0.018462028	0.2805	6.0	25.806406021118164
9	-66.76534	49.241695	0.7288042	-259.9301	37.29885	-49.741035	8.400369	31.809011	-51.750572	40000	5.5879354e-09	2717.257	-0.023918862	-86.80333	7.204333	0.015750691	0.24925	7.0	28.946707010269165
