Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-360.10226	848.2894	-52.891987	-4520.636	78.039215	-0.035162665	1.0261146	2.5754402	-2.9107752	4000	-2.2172928e-08	96154.82	-0.030321743	-1796.7422	7.35762	0.016092781	0.18625	8.0	7.470505475997925
1	-492.6815	1077.7708	-42.482815	-4312.986	112.85714	-3.3486829	1.3222512	1.1961443	-7.039744	8000	-8.8214875e-09	109916.734	-0.026814472	-4092.25	7.2934327	0.016536614	0.20025	10.0	13.828521728515625
2	-248.6124	550.6729	-54.442886	-4145.7944	58.679245	-10.200414	1.6246041	-0.8834652	-13.109709	12000	1.0406971e-07	70417.45	-0.049249347	-2005.3359	7.283005	0.01541766	0.2055	29.0	20.181947469711304
3	-346.47452	802.8805	-50.7675	-4227.4395	81.61224	-14.860325	1.2390755	-7.6757174	-16.702925	16000	-1.2171269e-07	75212.83	-0.026568301	-1787.2422	7.320576	0.016860498	0.20575	11.0	26.321171522140503
4	-357.63162	853.2043	-35.570923	-4164.9707	83.270836	-18.813622	0.972215	-11.579781	-20.038345	20000	5.5909158e-08	84616.9	-0.034682438	-1864.9375	7.315084	0.015119821	0.2325	15.0	32.65916109085083
5	-279.8828	699.6666	-44.651974	-4053.5225	65.6	-22.511036	1.0087616	-13.630384	-23.481583	24000	1.1909008e-07	65838.15	-0.0338487	-1252.9883	7.3201065	0.015574152	0.2225	15.0	39.45703911781311
6	-373.04266	841.32434	-42.702225	-4134.2104	87.209305	-25.553755	0.7951805	-18.524414	-26.325277	28000	-9.000301e-08	76285.125	-0.033962775	-1450.5312	7.2844296	0.016002832	0.1755	15.0	45.71337389945984
7	-674.0755	1327.541	-57.23149	-4071.6704	167.09091	-28.675262	0.62109804	-22.214497	-29.338318	32000	-1.9013882e-07	96363.57	-0.024773564	-2034.9141	7.2595	0.017643258	0.1975	11.0	52.097959756851196
