Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-648.04584	485.22253	-213.43834	-2484.6194	42.342857	-0.016339801	1.0115275	5.5222907	-3.4130185	4000	3.7252903e-08	1049412.8	-0.031927418	-13128.57	7.374349	0.015954012	0.16350001	7.0	3.0299248695373535
1	-1436.0807	3455.543	-205.4949	-13850.229	103.85714	-7.181302	3.5813925	-0.7924461	-21.456898	8000	6.7055225e-08	1360556.5	-0.033433445	-27008.188	7.327261	0.016454566	0.20325	13.0	5.430095195770264
2	-510.34085	365.22244	-136.69543	-1496.0522	35.622643	-19.424198	8.122578	-2.8596222	-55.85695	12000	-1.3411045e-07	730736.75	-0.025038458	-20413.707	7.3678985	0.016369207	0.1715	9.0	7.727440357208252
3	-472.0314	366.43207	-110.78322	-1846.1942	32.048782	-33.7344	12.860946	-6.4893193	-90.97784	16000	3.7252903e-08	846616.75	-0.048473872	-35646.895	7.3114214	0.015714671	0.238	24.0	10.431006669998169
4	-615.4001	1169.4011	-106.45845	-7842.7295	45.19512	-55.91453	19.957932	-11.161116	-156.54515	20000	-1.4156103e-07	809129.25	-0.038801298	-43296.93	7.2927475	0.01561583	0.218	16.0	12.883935451507568
5	-409.35168	229.01613	-162.38026	-1105.4825	30.34375	-84.03322	28.314537	-16.938229	-220.7308	24000	7.450581e-09	835846.5	-0.043102775	-55918.504	7.279254	0.015849276	0.22325	20.0	15.426419734954834
6	-428.017	265.11673	-173.18694	-1398.9167	33.68	-120.12279	38.82106	-22.00511	-318.59543	28000	6.519258e-08	730844.75	-0.023829307	-61093.484	7.232519	0.015476355	0.18349999	9.0	17.771415948867798
7	-1290.8788	2706.3867	-214.93896	-12018.3545	104.82353	-161.90225	51.490086	-31.463026	-384.37634	32000	-5.2154064e-08	737666.56	-0.03646622	-74666.89	7.2084713	0.016578736	0.213	16.0	20.02140498161316
8	-1083.9183	2725.2898	-140.40639	-11929.189	88.882355	-210.09154	67.39131	-39.404377	-521.7227	36000	3.7252903e-08	642279.0	-0.056107737	-72192.164	7.1620746	0.015235471	0.25349998	42.0	22.305257081985474
9	-994.1758	2521.1736	-123.39689	-12224.231	79.61905	-263.9928	83.08722	-46.234802	-617.49304	40000	-8.940697e-08	608070.5	-0.04993952	-72526.195	7.196843	0.016022721	0.2605	26.0	25.080931901931763
