Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-442.75412	436.2607	-101.92224	-1504.7336	114.09091	0.08673589	0.51975083	2.7696352	-1.706413	4000	3.1292439e-07	92048.016	-0.032790467	-31063.066	7.3468637	0.01600644	0.1525	4.0	3.347510814666748
1	-1003.1907	1163.7067	-92.82832	-3530.2227	280.0	-59.70935	15.781111	-12.299902	-127.53807	8000	2.2351742e-08	58221.492	-0.080169745	-49011.73	7.3132753	0.015175153	0.32925	44.0	6.340565204620361
2	-331.01248	317.27393	-60.719593	-1272.3612	87.07692	-271.03268	54.120125	-57.635376	-487.09735	12000	3.7252903e-09	11401.023	-0.095445454	-1996.5195	7.2494526	0.015459545	0.381	67.0	9.687082052230835
3	-860.90967	913.47723	-96.90565	-3308.8064	248.41667	-264.73575	43.56758	-46.4732	-447.12772	16000	1.4901161e-08	9870.717	-0.08795549	-1445.3163	7.261631	0.015915638	0.375	48.0	12.987093687057495
4	-671.0309	784.41016	-149.83392	-3203.499	194.21428	-259.53278	39.86599	-37.037807	-458.75818	20000	0.0	9742.719	-0.09149006	-1095.2283	7.1472793	0.015578835	0.40825	52.0	16.467129230499268
5	-533.96643	454.80527	-67.07695	-1407.7509	158.36363	-246.8614	35.56551	-39.529205	-385.0331	24000	-7.450581e-09	7184.894	-0.08621433	-1049.3752	7.111219	0.015659966	0.38524997	46.0	19.9154314994812
6	-533.16644	431.9364	-45.005505	-1757.0049	155.4	-245.96938	36.09349	-33.407825	-397.93677	28000	0.0	8087.134	-0.06392611	-744.4597	6.9410334	0.016687829	0.286	21.0	23.025757312774658
7	-794.2655	756.8485	-143.82977	-2881.1455	256.6154	-244.34976	33.762592	-41.835464	-373.75043	32000	3.7252903e-09	6740.7554	-0.059695307	-570.29944	6.930434	0.016024124	0.28500003	20.0	26.064615964889526
8	-703.1025	456.83176	-123.85164	-1742.2072	220.0	-216.32631	28.211432	-36.801727	-327.56693	36000	0.0	7445.7964	-0.053390987	-435.49902	6.9155946	0.015630234	0.264	15.0	28.98618769645691
9	-411.4589	369.0086	-56.407234	-1419.9489	132.35	-228.13823	32.65818	-34.27453	-377.20935	40000	-2.7939677e-09	8438.861	-0.053116336	-733.18384	6.8839602	0.016450152	0.26075	16.0	32.45572280883789
