Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-208.09796	310.3784	-38.087772	-2726.2517	34.987015	-0.013101159	0.84083784	3.278542	-2.859865	4000	8.940697e-08	118904.22	-0.04474272	-1761.5957	7.374349	0.016010432	0.2025	18.0	2.9923574924468994
1	-179.21585	115.16612	-45.554775	-641.325	30.473215	-3.2373178	1.5417925	2.5708666	-7.8523774	8000	4.4703484e-08	54754.445	-0.06772196	-2019.5916	7.323374	0.015220458	0.30025	57.0	5.676448822021484
2	-386.28537	924.8504	-53.456383	-5472.817	65.42857	-8.790961	1.7665124	-0.31134674	-12.508172	12000	-1.4901161e-08	186429.03	-0.039383665	-5685.658	7.3286924	0.015945118	0.22575	16.0	8.18470549583435
3	-176.80501	174.97069	-34.164223	-1609.8073	31.543478	-16.499193	1.1059796	-10.241069	-17.862467	16000	2.9802322e-08	81545.63	-0.06902899	-1276.7927	7.2568264	0.0151986405	0.30725	55.0	10.959071159362793
4	-212.47186	325.80478	-37.44547	-2374.191	37.507248	-19.498188	1.0122774	-12.836819	-20.635752	20000	-8.940697e-08	120143.93	-0.045919895	-1933.3745	7.2051296	0.016236797	0.23725	20.0	13.36984372138977
5	-217.27554	226.60963	-37.349525	-1884.5029	39.01389	-22.997744	0.94995445	-16.681656	-23.865326	24000	-5.9604645e-08	75428.14	-0.031798936	-1145.1372	7.2045345	0.015784627	0.18025	13.0	15.713032484054565
6	-153.80583	90.682144	-31.797888	-422.39468	28.042105	-25.79074	0.899594	-19.01116	-26.456823	28000	1.1920929e-07	76719.8	-0.025490802	-966.156	7.174276	0.01697502	0.2315	8.0	17.96725034713745
7	-220.35658	319.57632	-33.05185	-1878.4613	41.630768	-28.204239	0.82642215	-21.785025	-28.852125	32000	0.0	93707.33	-0.046644107	-1436.1948	7.1485014	0.015516291	0.226	21.0	20.359410047531128
8	-144.1805	90.733795	-36.252426	-520.9752	27.333334	-31.200218	0.7788063	-25.198559	-31.74191	36000	5.9604645e-08	90900.84	-0.057353176	-1283.4396	7.0977426	0.015407869	0.2525	35.0	22.482951641082764
9	-186.8391	126.74586	-39.408356	-634.69183	35.534092	-34.11912	0.75685024	-27.73684	-34.521492	40000	-1.4156103e-07	45995.53	-0.039360516	-578.0144	7.150857	0.015600441	0.19049999	16.0	25.184165000915527
