Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-213.57576	485.3238	-22.550035	-2393.5742	89.73684	-0.07696558	0.91048604	2.0234692	-2.064756	4000	1.4901161e-08	30235.525	-0.038937513	-4098.9126	7.3798714	0.015671607	0.1975	6.0	3.363924026489258
1	-119.767204	89.99965	-29.356754	-468.9514	50.652172	-14.467361	0.52377737	-8.18135	-14.983534	8000	6.7055225e-08	28793.156	-0.05790843	-2177.556	7.4115295	0.016131472	0.22625001	19.0	5.979868173599243
2	-96.191055	74.33989	-16.73439	-294.81207	41.114285	-21.902046	0.14883204	-19.085817	-21.982725	12000	4.4703484e-08	24842.82	-0.027808608	-1493.8293	7.3103185	0.015904525	0.22025	8.0	8.568662166595459
3	-112.44512	91.69621	-15.320141	-404.67087	49.863636	-27.600172	0.06913385	-26.100412	-27.62714	16000	8.940697e-08	15394.632	-0.06313434	-796.44867	7.334693	0.016333565	0.232	22.0	11.584644794464111
4	-92.123726	96.30536	-9.686143	-702.93335	42.930557	-31.852278	0.06391254	-31.159685	-31.877636	20000	-7.4505806e-08	7800.7275	-0.07009171	-309.1209	7.264617	0.016590178	0.27999997	26.0	14.621095657348633
5	-94.20977	74.635445	-16.009886	-399.35062	45.27941	-34.657852	0.050448373	-33.817158	-34.67388	24000	1.4901161e-08	7651.336	-0.027346993	-269.75275	7.180043	0.016613428	0.21200001	8.0	17.45175075531006
6	-81.42015	72.97183	-13.176997	-376.20737	37.558823	-37.313522	0.03382151	-36.849304	-37.3278	28000	-3.7252903e-08	17333.945	-0.025508607	-1123.2032	7.1879997	0.017174875	0.236	6.0	20.333073377609253
7	-124.34583	308.99832	-15.31179	-2118.4036	58.863636	-42.63033	0.034281556	-42.10469	-42.644638	32000	-7.4505806e-08	14240.51	-0.025207212	-813.415	7.238204	0.015221344	0.25274998	8.0	23.291316986083984
8	-89.70709	80.52326	-18.67762	-458.041	47.836067	-47.354527	0.03540564	-46.80822	-47.364113	36000	3.7252903e-09	5598.316	-0.024062956	-195.8753	7.1895447	0.01885553	0.20050001	6.0	26.12222456932068
9	-74.66425	63.21709	-16.430067	-423.58786	36.89041	-49.0672	5.6177087	48.497776	-49.706673	40000	-2.2351742e-08	6072.7676	-0.024638373	-234.86932	7.2150435	0.018507976	0.232	7.0	29.386937141418457
