Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-262.39282	719.29877	-35.372692	-5142.1245	50.125	0.05158295	0.7388036	2.1816406	-2.2055688	4000	-1.1920929e-07	145967.97	-0.046581462	-1969.3613	7.3060555	0.015866235	0.20625001	20.0	2.553584337234497
1	-164.64642	298.41476	-26.482899	-2530.3623	32.5	-2.8219163	1.08369	1.0486687	-6.204482	8000	7.4505806e-08	125056.195	-0.026055843	-3526.8958	7.330779	0.017123379	0.20899999	10.0	4.515071630477905
2	-166.38971	116.53763	-42.86029	-515.17035	32.608696	-9.0274315	1.4440604	-0.58817774	-11.659398	12000	-5.9604645e-08	92689.01	-0.025361024	-2257.8179	7.2398596	0.016953168	0.20275	10.0	6.494256019592285
3	-307.79605	786.4395	-51.989594	-5101.553	61.166668	-13.556369	1.2635775	-5.364942	-15.434762	16000	-2.682209e-07	137787.48	-0.046526715	-3100.9814	7.359624	0.015562744	0.18925	28.0	8.53211522102356
4	-152.65686	107.75018	-34.611176	-478.9296	31.795918	-18.435385	1.0330217	-10.728381	-19.551323	20000	-5.2154064e-08	106807.44	-0.029380383	-1943.9512	7.2415047	0.0181652	0.236	12.0	10.523734331130981
5	-142.25781	112.45028	-34.9385	-674.1469	29.55	-22.035429	0.94784623	-15.771712	-22.854937	24000	-1.7881393e-07	71642.17	-0.060411908	-1045.9182	7.2437134	0.015365227	0.2715	49.0	12.766350507736206
6	-147.21317	110.05957	-22.483377	-749.0259	30.261683	-24.664385	0.9560892	-17.56118	-25.31008	28000	-7.4505806e-08	35765.336	-0.03405483	-442.92798	7.2361507	0.015258648	0.2045	14.0	14.855079889297485
7	-156.52596	187.54189	-31.074722	-1496.2262	34.62857	-26.329063	0.8216218	-20.945007	-26.977287	32000	0.0	67800.12	-0.05179664	-1034.6973	7.1641455	0.015728535	0.23875	26.0	16.93804121017456
8	-144.0154	73.350494	-43.987465	-315.66098	30.868422	-28.852516	0.700144	-22.416405	-29.440262	36000	-8.568168e-08	118294.195	-0.027933538	-2155.8945	7.121716	0.016383603	0.20925	11.0	18.89778995513916
9	-203.1822	426.89322	-37.66725	-3653.4636	43.753426	-32.476162	0.7711991	-26.578527	-32.95765	40000	-2.0489097e-08	60968.28	-0.054615736	-885.4911	7.144393	0.015585853	0.252	32.0	21.307689905166626
